Name:,Obj Fn
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200",5001021091
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300",5001030041
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_100",5010009246
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_200",5010020265
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_300",5010030307
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_100",5100010075
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_200",5100020241
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_300",5100031647
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_100",6000010227
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200",6000019894
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_300",6000030646
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_100",5000010269
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200",5000020598
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_300",5000031536
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100",5000110222
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_200",5000119899
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_300",5000130096
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_100",5001016164
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_200",5001030403
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300",5001044115
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100",5010014762
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200",5010031030
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300",5010044845
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_100",5100015007
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_200",5100031449
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_300",5100047422
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_100",6000016398
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_200",6000030829
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300",6000043420
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_100",5000015070
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_200",5000029332
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_300",5000044153
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_100",5000116036
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200",5000130084
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300",5000144493
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_100",9718508112
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_200",9716515186
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_300",9717522945
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_100",9987507900
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_200",9967515262
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_300",9967522507
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_100",9700006562
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_200",9700012676
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300",9900020410
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_100",9187505561
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_200",9812511432
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_300",9187517432
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_100",9687507568
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_200",9687514619
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300",9687521596
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100",9690507143
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_200",9690314622
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_300",9690422413
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_100",9716511613
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200",9714524491
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_300",9716535792
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_100",9977512228
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_200",9977522595
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_300",9967535713
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_100",9600012375
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_200",9900023689
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_300",9912536763
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_100",9187510866
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_200",9500020843
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_300",9500032426
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_100",9687512484
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_200",9687526309
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_300",9687536606
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_100",9690412604
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_200",9690424624
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_300",9690434949
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_100",9716517021
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_200",9715536012
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_300",9716554352
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_100",9927516322
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_200",9937533671
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_300",9957552376
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_100",9900016581
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_200",9700035122
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_300",9800053821
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_100",9500015254
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_200",9187530922
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_300",9187546534
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_100",9687517563
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_200",9687535653
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_300",9687548800
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_100",9690317533
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_200",9690335081
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_300",9690551257
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_100",99918979
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_200",99929692
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_300",99984996
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_100",99752711
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_200",99770761
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_300",99972416
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_100",99604320
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_200",99957671
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_300",99427823
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_100",95474471
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_200",95480875
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_300",95291843
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_100",99821840
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_200",99834744
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_300",99851422
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_100",99965373
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_200",99977999
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_300",100006480
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_100",99973101
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_200",99868856
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_300",99959938
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_100",100008604
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_200",99739479
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_300",99774180
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_100",99686876
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_200",99406250
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_300",99936306
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_100",95675982
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_200",94709891
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_300",92962817
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_100",99824842
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_200",99844533
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_300",99861901
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_100",99963732
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_200",99991892
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_300",100015026
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100",99887601
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_200",99992252
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300",100031518
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_100",99918569
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200",100020415
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_300",99974983
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100",99762269
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_200",99954120
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300",99558872
